Y,DATETIME,TOTAL_DL
2016,2016/1/24,67475762.98
2016,2016/1/25,63133479.54
2016,2016/1/26,61847908
2016,2016/1/27,59502072.38
2016,2016/1/28,57238741.85
2016,2016/1/29,53018230.78
2016,2016/1/30,48170213.83
2016,2016/1/31,43130424.45
2016,2016/2/1,37189921.88
2016,2016/2/2,35571004.08
2016,2016/2/3,31261428.61
2016,2016/2/4,27356620.44
2016,2016/2/5,24459738.49
2016,2016/2/6,21108487.49
2016,2016/2/7,18556601.86
2016,2016/2/8,15567574.25
2016,2016/2/9,14836937.38
2016,2016/2/10,14681818.61
2016,2016/2/11,14730682.26
2016,2016/2/12,14838170.35
2016,2016/2/13,15252245.6
2016,2016/2/14,15856039.84
2016,2016/2/15,18628279.95
2016,2016/2/16,22466196.27
2016,2016/2/17,26216827.6
2016,2016/2/18,29596344.94
2016,2016/2/19,33664522.18
2016,2016/2/20,39459364.98
2016,2016/2/21,44082234.18
2016,2016/2/22,47390901
2016,2016/2/23,52996455.72
2016,2016/2/24,58339952.86
2016,2016/2/25,61641699.02
2016,2016/2/26,64736729.9
2016,2016/2/27,66625928.63
2016,2016/2/28,66664525.75
2016,2016/2/29,65928562.12
2016,2016/3/1,71039853.33
2016,2016/3/2,73451427.24
2016,2016/3/3,74445854.05
2016,2016/3/4,74720689.14
2016,2016/3/5,75596357.12
2016,2016/3/6,75482661.27
2016,2016/3/7,74042235.95
2016,2016/3/8,77812445.31
2016,2016/3/9,79755104.14
2016,2016/3/10,82268646.88
2016,2016/3/11,83718029.48
2016,2016/3/12,83386396.24
2016,2016/3/13,81630462.19
2016,2016/3/14,78573166.16
2016,2016/3/15,81769332.82
2016,2016/3/16,82730273.47
2016,2016/3/17,82290426.29
2016,2016/3/18,82744099.11
2016,2016/3/19,82918392.07
2016,2016/3/20,82506103.96
2016,2016/3/21,79802093.98
2016,2016/3/22,83461834.55
2016,2016/3/23,83847293.64
2016,2016/3/24,84423292.37
2016,2016/3/25,86938769.73
2016,2016/3/26,86537042.92
2016,2016/3/27,83839500.03
2016,2016/3/28,80401477.13
2016,2016/3/29,83527936.13
2016,2016/3/30,84596404.28
2016,2016/3/31,85095392.27
2016,2016/4/1,84175314.56
2016,2016/4/2,84371123.43
2016,2016/4/3,82939215.16
2016,2016/4/4,79378085.47
2016,2016/4/5,73369391.36
2016,2016/4/6,81107082.42
2016,2016/4/7,84648371.85
2016,2016/4/8,85553730.67
2016,2016/4/9,85631999.32
2016,2016/4/10,84901829.32
2016,2016/4/11,81686655.57
2016,2016/4/12,84564000.46
2016,2016/4/13,85193231.2
2016,2016/4/14,85904589.11
2016,2016/4/15,86334748.94
2016,2016/4/16,85587472.31
2016,2016/4/17,84834205.43
2016,2016/4/18,81903186.74
2016,2016/4/19,85391654.71
2016,2016/4/20,86011114.35
2016,2016/4/21,86167954.69
2016,2016/4/22,85763534.28
2016,2016/4/23,86138637.26
2016,2016/4/24,85733474.8
2016,2016/4/25,82279240.36
2016,2016/4/26,84989113.87
2016,2016/4/27,85016925.27
2016,2016/4/28,85237915.23
2016,2016/4/29,84646548.04
2016,2016/4/30,84327688.85
2016,2016/5/1,80125602.96
2016,2016/5/2,64358672.55
2016,2016/5/3,69545008.59
2016,2016/5/4,79446249.3
2016,2016/5/5,83254978.83
2016,2016/5/6,84161552.82
2016,2016/5/7,86709140.53
2016,2016/5/8,84364177
2016,2016/5/9,80885841.47
2016,2016/5/10,83404947.83
2016,2016/5/11,84501082.62
2016,2016/5/12,84752529.37
2016,2016/5/13,85664725.85
2016,2016/5/14,85432084.34
2016,2016/5/15,84897969.53
2016,2016/5/16,80285848.3
2016,2016/5/17,83535591.22
2016,2016/5/18,83994185.6
2016,2016/5/19,83845670.53
2016,2016/5/20,84164299.03
2016,2016/5/21,83806153.9
2016,2016/5/22,82185716.78
2016,2016/5/23,78258799.69
2016,2016/5/24,81662495.2
2016,2016/5/25,82247646.01
2016,2016/5/26,83673163.13
2016,2016/5/27,83156746.48
2016,2016/5/28,83898858.94
2016,2016/5/29,82528919.23
2016,2016/5/30,78798415.22
2016,2016/5/31,82480570.92
2016,2016/6/1,84185960.38
2016,2016/6/2,82006611.31
2016,2016/6/3,82159814.03
2016,2016/6/4,82843281.82
2016,2016/6/5,83097200.67
2016,2016/6/6,80856204.53
2016,2016/6/7,84702935.91
